sample;date;time;month;station
1_130_S31;18/01/2021;9:05;January_2021;130
1_330_S34;18/01/2021;14:05;January_2021;330
1_700_S32;18/01/2021;11:45;January_2021;700
1_780_S33;18/01/2021;13:00;January_2021;780
1_ZG02_S35;18/01/2021;15:35;January_2021;ZG02
2_120_S40;15/02/2021;16:15;February_2021;120
2_130_S36;15/02/2021;9:30;February_2021;130
2_330_S39;15/02/2021;14:20;February_2021;330
2_700_S37;15/02/2021;11:45;February_2021;700
2_780_S38;15/02/2021;13:10;February_2021;780
4_120_S44;27/04/2021;9:25;April_2021;120
4_130_S41;27/04/2021;10:05;April_2021;130
4_330_S42;27/04/2021;11:15;April_2021;330
4_ZG02_S43;27/04/2021;13:00;April_2021;ZG02
5_120_S50;18/05/2021;20:25;May_2021;120
5_130_S45;18/05/2021;9:45;May_2021;130
5_330_S48;18/05/2021;14:12;May_2021;330
5_700_S46;18/05/2021;12:00;May_2021;700
5_780_S47;18/05/2021;13:15;May_2021;780
5_ZG02_S49;18/05/2021;18:50;May_2021;ZG02
6_120_S55;29/06/2021;18:05;June_2021;120
6_130_S51;29/06/2021;10:00;June_2021;130
6_330_S52;29/06/2021;15:00;June_2021;330
6_700_S53;29/06/2021;12:35;June_2021;700
6_780_S54;29/06/2021;14:00;June_2021;780
6_ZG02_S56;29/06/2021;16:25;June_2021;ZG02
7_120_S61;27/07/2021;12:45;July_2021;120
7_130_S57;26/07/2021;9:52;July_2021;130
7_330_S58;26/07/2021;14:40;July_2021;330
7_700_S59;26/07/2021;12:15;July_2021;700
7_780_S60;26/07/2021;13:38;July_2021;780
7_ZG02_S62;27/07/2021;10:15;July_2021;ZG02
A_120_S5;23/07/2020;11:05;July_2020;120
A_130_S1;22/07/2020;9:15;July_2020;130
A_330_S2;22/07/2020;11:10;July_2020;330
A_700_S4;22/07/2020;13:55;July_2020;700
A_780_S3;22/07/2020;12:30;July_2020;780
A_ZGO2_S6;23/07/2020;13:50;July_2020;ZG02
B_120_S11;18/08/2020;9:40;August_2020;120
B_130_S7;17/08/2020;9:50;August_2020;130
B_330_S8;17/08/2020;11:35;August_2020;330
B_700_S10;17/08/2020;14:05;August_2020;700
B_780_S9;17/08/2020;12:40;August_2020;780
B_ZG02_S12;18/08/2020;12:10;August_2020;ZG02
C_120_S18;30/09/2020;18:35;September_2020;120
C_130_S13;30/09/2020;9:10;September_2020;130
C_330_S16;30/09/2020;15:00;September_2020;330
C_700_S14;30/09/2020;12:00;September_2020;700
C_780_S15;30/09/2020;13:40;September_2020;780
C_ZG02_S17;30/09/2020;16:20;September_2020;ZG02
E_120_S23;27/11/2020;10:30;November_2020;120
E_130_S19;26/11/2020;9:05;November_2020;130
E_330_S22;26/11/2020;15:00;November_2020;330
E_700_S20;26/11/2020;11:00;November_2020;700
E_780_S21;26/11/2020;13:55;November_2020;780
E_ZG02_S24;27/11/2020;12:10;November_2020;ZG02
F_120_S29;16/12/2020;10:20;December_2020;120
F_130_S25;15/12/2020;9:25;December_2020;130
F_330_S28;15/12/2020;11:05;December_2020;330
F_700_S26;15/12/2020;13:30;December_2020;700
F_780_S27;15/12/2020;12:15;December_2020;780
F_ZG02_S30;16/12/2020;12:10;December_2020;ZG02
